A;MES;CATEGOCUPACIONAL;ACCIMORTALES;ACCITRABAJO;ENFEROCUPACIONALES;TOTALNOTIFI
2021;NOVIEMBRE;NO DETERMINADO;0;1244;0;1244
2021;DICIEMBRE;AGRICULTOR;0;0;0;0
2021;DICIEMBRE;CAPATAZ;0;4;0;4
2021;DICIEMBRE;EMPLEADO;5;498;5;508
2021;DICIEMBRE;FUNCIONARIO;0;2;0;2
2021;DICIEMBRE;OBRERO;4;101;0;105
2021;DICIEMBRE;OFICIAL;0;26;0;26
2021;DICIEMBRE;OPERARIO;1;474;0;475
2021;DICIEMBRE;PEON;2;18;0;20
2021;DICIEMBRE;OTROS;0;556;2;558
2021;DICIEMBRE;NO DETERMINADO;0;960;0;960
